節税,節税対策,,,,,,,,,
相続税,相続税,,,,,,,,,
税務調査,税務調査対応,,,,,,,,,
顧問税理士,顧問税理士・法人決算,,,,,,,,,
経理・決算,記帳・経理業務サポート,,,,,,,,,
税金・お金,なし,,,,,,,,,
会社設立,会社設立・起業,,,,,,,,,
資金調達,融資・資金調達・金融機関対応,,,,,,,,,
確定申告,個人確定申告,,,,,,,,,
海外税務,海外税務,,,,,,,,,
顧問税理士 節税 確定申告,顧問税理士・法人決算,節税対策,個人確定申告,,,,,,,
顧問税理士 経理・決算,顧問税理士・法人決算,記帳・経理業務サポート,,,,,,,,
顧問税理士 会社設立 確定申告,顧問税理士・法人決算,会社設立・起業,個人確定申告,,,,,,,
顧問税理士 資金調節税対策,顧問税理士・法人決算,融資・資金調達・金融機関対応,節税対策,,,,,,,
給与計算・年末調整,給与計算・年末調整,,,,,,,,,
会社の税務を中心に担当しています。,顧問税理士・法人決算,,,,,,,,,
通常の税金の申告から予算作成も行いますが専門はIPOですので、会計から組織作りまで対応しております。,なし,,,,,,,,,
また税務調査立会単独の仕事も行っていますのでこちらのご要望決算、税金・お金,税務調査対応,,,,,,,,,
資産税全般　,なし,,,,,,,,,
相続税申告　,相続税,,,,,,,,,
還付申告　,個人確定申告,,,,,,,,,
生前贈与対策　,相続税,,,,,,,,,
事業承継対策　,事業承継・M&A,,,,,,,,,
確定申告\t\t\t\t\t\t,個人確定申告,,,,,,,,,
顧問税理士、 経理及び決算サポート、経営企画支援、システム導入(MFシリーズやKintone、Sales forceなどの案件管 顧問税理士,顧問税理士・法人決算,記帳・経理業務サポート,資金繰り表作成・経営指導サポート,,,,,,,
節税,節税対策,,,,,,,,,
会社設立,会社設立・起業,,,,,,,,,
確定申告,個人確定申告,,,,,,,,,
相続税,相続税,,,,,,,,,
税務調査,税務調査対応,,,,,,,,,
経理・決算,記帳・経理業務サポート,,,,,,,,,
"税金・お金""",なし,,,,,,,,,
顧問税理士　事業承継税制の検討　融資相談・銀行同行　確定申告　相続税申告　遺産分割協議書と相続手続き　不動産の名義変更手続き（司法書士と行政書士と連理士、節税、相続税、税金・お金,顧問税理士・法人決算,事業承継・M&A,融資・資金調達・金融機関対応,個人確定申告,相続税,,,,,
顧問税理士、資金調達、節税、相続税,顧問税理士・法人決算,融資・資金調達・金融機関対応,節税対策,相続税,,,,,,
記帳代行、税務相談、申告書作成、税務調査対応、組織再編成、経営計画作成、法人設立、清算、融資支援、会計監査等,記帳・経理業務サポート,顧問税理士・法人決算,税務調査対応,資金繰り表作成・経営指導サポート,会社設立・起業,融資・資金調達・金融機関対応,,,,
顧問税理士、資金調達、節税、会社設立、確定申告、、確定申告、相続税、税務調査、経理・決算、（M&A、経営計画策定),顧問税理士・法人決算,融資・資金調達・金融機関対応,節税対策,会社設立・起業,個人確定申告,相続税,税務調査対応,記帳・経理業務サポート,事業承継・M&A,資金繰り表作成・経営指導サポート
顧問税理士、資金調達、節税、会社設立、税務調査,顧問税理士・法人決算,融資・資金調達・金融機関対応,節税対策,会社設立・起業,税務調査対応,,,,,
顧問税理士、会社設立、確定申告、相続税,顧問税理士・法人決算,会社設立・起業,個人確定申告,節税対策,,,,,,
顧問税理士、節税、会社設立、確定申告,顧問税理士・法人決算,節税対策,会社設立・起業,個人確定申告,,,,,,
顧問税理士、資金調達、節税、会社設算、税金・お金\t\t\t\t\t\t,顧問税理士・法人決算,融資・資金調達・金融機関対応,節税対策,会社設立・起業,,,,,,
顧問税理士、確定申告、経理・決算,顧問税理士・法人決算,個人確定申告,記帳・経理業務サポート,,,,,,,
経理・決算\t\t\t\t\t\t,記帳・経理業務サポート,,,,,,,,,
顧問税理士、経理・決算、税金・お金,顧問税理士・法人決算,記帳・経理業務サポート,,,,,,,,
顧問税理士、確定申告、税務調査、経理・決算、税金・お金,顧問税理士・法人決算,個人確定申告,税務調査対応,記帳・経理業務サポート,,,,,,
主に小規模企業（個人、法人）への節税対策,節税対策,,,,,,,,,
"\t""",なし,,,,,,,,,
顧問税理士、節税、会社設立、確定申告、相続税、経理・決算、税金・お金,顧問税理士・法人決算,節税対策,会社設立・起業,個人確定申告,相続税,記帳・経理業務サポート,,,,
顧問税理士、確定申告、経理・決算、会社設立\t\t\t\t\t\t,顧問税理士・法人決算,個人確定申告,記帳・経理業務サポート,会社設立・起業,,,,,,
顧問税理士・確定申告・相続\t,顧問税理士・法人決算,個人確定申告,相続税,,,,,,,
顧問税理士、会社設立、確定申告、相続税、税務調査、ビジネスマッチ\t\t\t\t\t,顧問税理士・法人決算,会社設立・起業,個人確定申告,相続税,税務調査対応,なし,,,,
顧問税理士、資金調達、節税、会社設立、 相続税、税務調査,顧問税理士・法人決算,融資・資金調達・金融機関対応,節税対策,会社設立・起業,相続税,税務調査対応,,,,
顧問税理士、資金調達、節税、会社設立、確定申告、,顧問税理士・法人決算,融資・資金調達・金融機関対応,節税対策,会社設立・起業,個人確定申告,,,,,
相続税、税務調査、経理・決算、税金・お金,相続税,税務調査対応,記帳・経理業務サポート,なし,,,,,,
顧問税理士、資金調達、,顧問税理士・法人決算,融資・資金調達・金融機関対応,,,,,,,,
相続税、経理・決顧問税理士、節税、会お金,相続税,記帳・経理業務サポート,顧問税理士・法人決算,節税対策,なし,,,,,
"顧問税理士,資金調達,節税,会社設立,相続税\t\t\t\t\t\t",顧問税理士・法人決算,融資・資金調達・金融機関対応,節税対策,会社設立・起業,相続税,,,,,
法人顧問税理士・相続税申告\t\t\t\t\t\t,顧問税理士・法人決算,相続税,,,,,,,,
顧問税理士、資金調達、節税、会社設立、確定申告、相続税、税務調査、経理・決算,顧問税理士・法人決算,融資・資金調達・金融機関対応,節税対策,会社設立・起業,個人確定申告,相続税,税務調査対応,記帳・経理業務サポート,,
顧問契約,顧問税理士・法人決算,,,,,,,,,
ビジネスモデル構築,資金繰り表作成・経営指導サポート,,,,,,,,,
サービス開発ンサルティング,資金繰り表作成・経営指導サポート,,,,,,,,,
業務効率化,資金繰り表作成・経営指導サポート,,,,,,,,,
IT化支援\t\t\t\t\t\t,資金繰り表作成・経営指導サポート,,,,,,,,,
経緯・決算,記帳・経理業務サポート,,,,,,,,,
創業融資,融資・資金調達・金融機関対応,,,,,,,,,
税務調査対策,税務調査対応,,,,,,,,,
経理・決算税金・お金,記帳・経理業務サポート,,,,,,,,,
税金・お金\t\t\t\t\t\t,なし,,,,,,,,,
経理・顧問税理士,記帳・経理業務サポート,顧問税理士・法人決算,,,,,,,,
決算,顧問税理士・法人決算,,,,,,,,,
会社設立支援,会社設立・起業,,,,,,,,,
税金,なし,,,,,,,,,
資金調達支援,融資・資金調達・金融機関対応,,,,,,,,,
贈与税,相続税,,,,,,,,,
譲渡所より提携事務所に紹介）,なし,,,,,,,,,
☆税務調査,税務調査対応,,,,,,,,,
税務調査　,税務調査対応,,,,,,,,,
節税顧問税理士,節税対策,顧問税理士・法人決算,,,,,,,,
"節税, 会社設立",節税対策,会社設立・起業,,,,,,,,
不動産,なし,,,,,,,,,
金融,なし,,,,,,,,,
飲食,なし,,,,,,,,,
流通・小売,なし,,,,,,,,,
建設・建築,なし,,,,,,,,,
IT・インターネット,なし,,,,,,,,,
美容,なし,,,,,,,,,
運輸・物流,なし,,,,,,,,,
製造,なし,,,,,,,,,
教育,なし,,,,,,,,,
医療・福祉,なし,,,,,,,,,
相続税対策,なし,,,,,,,,,
税,なし,,,,,,,,,
事業承継・M&A,事業承継・M&A,,,,,,,,,
個人確定申告会社設立・起業,個人確定申告,会社設立・起業,,,,,,,,
事業承継,事業承継・M&A,,,,,,,,,
,なし,,,,,,,,,
個人確定申告、（譲渡・贈与）,個人確定申告,,,,,,,,,
相続税節税対策,相続税,,,,,,,,,
税金・お金  ,なし,,,,,,,,,
 },なし,,,,,,,,,